lead_date,lead_id,partner_id,subpartner_id,subpartner_name,lost_reason,source_country_short_name,source_country,state,state_updated,city_name,country_name,partner_state,repeat,repeat_all,singular_id
"September 1, 2025","3,197,286","63,645","63,645",University College London,Parent lead already present,HK,Hong Kong,lost,lost,London,United Kingdom,repeat,true,true,
"September 12, 2025","3,224,480","63,645","63,645",University College London,Booked directly on the property website,JO,Jordan,lost,lost,London,United Kingdom,not_booked,false,false,
"September 7, 2025","3,213,258","63,645","63,645",University College London,Number not Reachable,CN,China,lost,lost,London,United Kingdom,not_booked,false,false,
"September 10, 2025","3,221,598","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 18, 2025","3,076,146","63,645","63,645",University College London,Parent lead already present,CA,Canada,lost,lost,London,United Kingdom,repeat,true,true,
"August 14, 2025","3,139,656","63,645","63,645",University College London,Parent lead already present,CN,China,lost,lost,London,United Kingdom,repeat,true,true,
"July 26, 2025","3,092,775","63,645","63,645",University College London,Budget too low,PK,Pakistan,lost,lost,London,United Kingdom,not_booked,false,false,
"September 11, 2025","3,224,150","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 13, 2025","3,135,341","63,645","63,645",University College London,Not a Student,US,United States,lost,lost,London,United Kingdom,not_booked,false,false,
"September 18, 2025","3,238,423","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,Wembley,United Kingdom,repeat,true,true,
"September 13, 2025","3,228,085","63,645","63,645",University College London,Booked directly on the property website,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"August 22, 2025","3,168,993","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"July 19, 2025","3,079,043","63,645","63,645",University College London,Parent lead already present,GB,United Kingdom,lost,lost,London,United Kingdom,repeat,true,true,
"August 30, 2025","3,192,795","63,645","63,645",University College London,,CY,Cyprus,won,won,Wembley,United Kingdom,booked,false,false,
"July 18, 2025","3,076,917","63,645","63,645",University College London,Parent lead already present,MY,Malaysia,lost,lost,London,United Kingdom,repeat,true,true,
"September 10, 2025","3,220,974","63,645","63,645",University College London,,PL,Poland,won,won,London,United Kingdom,booked,false,false,
"August 6, 2025","3,119,776","63,645","63,645",University College London,Parent lead already present,,,lost,lost,London,United Kingdom,repeat,true,true,
"August 27, 2025","3,182,129","63,645","63,645",University College London,Parent lead already present,CU,Cuba,lost,lost,London,United Kingdom,repeat,true,true,
"September 16, 2025","3,235,181","63,645","63,645",University College London,Parent lead already present,JP,Japan,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 18, 2025","3,155,562","63,645","63,645",University College London,Parent lead already present,PH,Philippines,lost,lost,London,United Kingdom,repeat,true,true,
"September 12, 2025","3,225,020","63,645","63,645",University College London,Parent lead already present,US,United States,lost,lost,Wembley,United Kingdom,repeat,true,true,
"August 23, 2025","3,171,518","63,645","63,645",University College London,Underage Student,GB,United Kingdom,lost,lost,London,United Kingdom,not_booked,false,false,
"September 15, 2025","3,232,962","63,645","63,645",University College London,,CH,Switzerland,won,won,London,United Kingdom,booked,false,false,
